Ward Code,Ward,District Code,Disctrict,City Code,City/Province
00220,Phường Phương Liên,006,Quận Đống Đa,01,Thành phố Hà Nội
00223,Phường Thịnh Quang,006,Quận Đống Đa,01,Thành phố Hà Nội
00226,Phường Trung Tự,006,Quận Đống Đa,01,Thành phố Hà Nội
00229,Phường Kim Liên,006,Quận Đống Đa,01,Thành phố Hà Nội
00232,Phường Phương Mai,006,Quận Đống Đa,01,Thành phố Hà Nội
00235,Phường Ngã Tư Sở,006,Quận Đống Đa,01,Thành phố Hà Nội
00238,Phường Khương Thượng,006,Quận Đống Đa,01,Thành phố Hà Nội
00241,Phường Nguyễn Du,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00244,Phường Bạch Đằng,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00247,Phường Phạm Đình Hổ,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00256,Phường Lê Đại Hành,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00259,Phường Đồng Nhân,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00262,Phường Phố Huế,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00265,Phường Đống Mác,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00268,Phường Thanh Lương,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00271,Phường Thanh Nhàn,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00274,Phường Cầu Dền,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00277,Phường Bách Khoa,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00280,Phường Đồng Tâm,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00283,Phường Vĩnh Tuy,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00286,Phường Bạch Mai,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00289,Phường Quỳnh Mai,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00292,Phường Quỳnh Lôi,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00295,Phường Minh Khai,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00298,Phường Trương Định,007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
00301,Phường Thanh Trì,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00304,Phường Vĩnh Hưng,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00307,Phường Định Công,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00310,Phường Mai Động,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00313,Phường Tương Mai,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00316,Phường Đại Kim,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00319,Phường Tân Mai,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00322,Phường Hoàng Văn Thụ,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00325,Phường Giáp Bát,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00328,Phường Lĩnh Nam,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00331,Phường Thịnh Liệt,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00334,Phường Trần Phú,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00337,Phường Hoàng Liệt,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00340,Phường Yên Sở,008,Quận Hoàng Mai,01,Thành phố Hà Nội
00343,Phường Nhân Chính,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00346,Phường Thượng Đình,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00349,Phường Khương Trung,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00352,Phường Khương Mai,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00355,Phường Thanh Xuân Trung,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00358,Phường Phương Liệt,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00361,Phường Hạ Đình,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00364,Phường Khương Đình,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00367,Phường Thanh Xuân Bắc,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00370,Phường Thanh Xuân Nam,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00373,Phường Kim Giang,009,Quận Thanh Xuân,01,Thành phố Hà Nội
00376,Thị trấn Sóc Sơn,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00379,Xã Bắc Sơn,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00382,Xã Minh Trí,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00385,Xã Hồng Kỳ,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00388,Xã Nam Sơn,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00391,Xã Trung Giã,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00394,Xã Tân Hưng,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00397,Xã Minh Phú,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00400,Xã Phù Linh,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00403,Xã Bắc Phú,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00406,Xã Tân Minh,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00409,Xã Quang Tiến,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00412,Xã Hiền Ninh,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00415,Xã Tân Dân,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00418,Xã Tiên Dược,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00421,Xã Việt Long,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00424,Xã Xuân Giang,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00427,Xã Mai Đình,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00430,Xã Đức Hoà,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00433,Xã Thanh Xuân,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00436,Xã Đông Xuân,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00439,Xã Kim Lũ,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00442,Xã Phú Cường,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00445,Xã Phú Minh,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00448,Xã Phù Lỗ,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00451,Xã Xuân Thu,016,Huyện Sóc Sơn,01,Thành phố Hà Nội
00454,Thị trấn Đông Anh,017,Huyện Đông Anh,01,Thành phố Hà Nội
00457,Xã Xuân Nộn,017,Huyện Đông Anh,01,Thành phố Hà Nội
00460,Xã Thuỵ Lâm,017,Huyện Đông Anh,01,Thành phố Hà Nội
00463,Xã Bắc Hồng,017,Huyện Đông Anh,01,Thành phố Hà Nội
00466,Xã Nguyên Khê,017,Huyện Đông Anh,01,Thành phố Hà Nội
00469,Xã Nam Hồng,017,Huyện Đông Anh,01,Thành phố Hà Nội
00472,Xã Tiên Dương,017,Huyện Đông Anh,01,Thành phố Hà Nội
00475,Xã Vân Hà,017,Huyện Đông Anh,01,Thành phố Hà Nội
00478,Xã Uy Nỗ,017,Huyện Đông Anh,01,Thành phố Hà Nội
00481,Xã Vân Nội,017,Huyện Đông Anh,01,Thành phố Hà Nội
00484,Xã Liên Hà,017,Huyện Đông Anh,01,Thành phố Hà Nội
00487,Xã Việt Hùng,017,Huyện Đông Anh,01,Thành phố Hà Nội
00490,Xã Kim Nỗ,017,Huyện Đông Anh,01,Thành phố Hà Nội
00493,Xã Kim Chung,017,Huyện Đông Anh,01,Thành phố Hà Nội
00496,Xã Dục Tú,017,Huyện Đông Anh,01,Thành phố Hà Nội
00499,Xã Đại Mạch,017,Huyện Đông Anh,01,Thành phố Hà Nội
00502,Xã Vĩnh Ngọc,017,Huyện Đông Anh,01,Thành phố Hà Nội
00505,Xã Cổ Loa,017,Huyện Đông Anh,01,Thành phố Hà Nội
00508,Xã Hải Bối,017,Huyện Đông Anh,01,Thành phố Hà Nội
00511,Xã Xuân Canh,017,Huyện Đông Anh,01,Thành phố Hà Nội
00514,Xã Võng La,017,Huyện Đông Anh,01,Thành phố Hà Nội
00517,Xã Tàm Xá,017,Huyện Đông Anh,01,Thành phố Hà Nội
00520,Xã Mai Lâm,017,Huyện Đông Anh,01,Thành phố Hà Nội
00523,Xã Đông Hội,017,Huyện Đông Anh,01,Thành phố Hà Nội
00526,Thị trấn Yên Viên,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00529,Xã Yên Thường,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00532,Xã Yên Viên,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00535,Xã Ninh Hiệp,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00538,Xã Đình Xuyên,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00541,Xã Dương Hà,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00544,Xã Phù Đổng,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00547,Xã Trung Mầu,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00550,Xã Lệ Chi,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00553,Xã Cổ Bi,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00556,Xã Đặng Xá,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00559,Xã Phú Thị,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00562,Xã Kim Sơn,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00565,Thị trấn Trâu Quỳ,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00568,Xã Dương Quang,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00571,Xã Dương Xá,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00574,Xã Đông Dư,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00577,Xã Đa Tốn,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00580,Xã Kiêu Kỵ,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00583,Xã Bát Tràng,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00586,Xã Kim Lan,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00589,Xã Văn Đức,018,Huyện Gia Lâm,01,Thành phố Hà Nội
00592,Phường Cầu Diễn,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00622,Phường Xuân Phương,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00623,Phường Phương Canh,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00625,Phường Mỹ Đình 1,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00626,Phường Mỹ Đình 2,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00628,Phường Tây Mỗ,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00631,Phường Mễ Trì,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00632,Phường Phú Đô,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00634,Phường Đại Mỗ,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00637,Phường Trung Văn,019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
00640,Thị trấn Văn Điển,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00643,Xã Tân Triều,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00646,Xã Thanh Liệt,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00649,Xã Tả Thanh Oai,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00652,Xã Hữu Hoà,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00655,Xã Tam Hiệp,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00658,Xã Tứ Hiệp,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00661,Xã Yên Mỹ,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00664,Xã Vĩnh Quỳnh,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00667,Xã Ngũ Hiệp,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00670,Xã Duyên Hà,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00673,Xã Ngọc Hồi,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00676,Xã Vạn Phúc,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00679,Xã Đại áng,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00682,Xã Liên Ninh,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00685,Xã Đông Mỹ,020,Huyện Thanh Trì,01,Thành phố Hà Nội
00595,Phường Thượng Cát,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00598,Phường Liên Mạc,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00601,Phường Đông Ngạc,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00602,Phường Đức Thắng,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00604,Phường Thụy Phương,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00607,Phường Tây Tựu,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00610,Phường Xuân Đỉnh,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00611,Phường Xuân Tảo,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00613,Phường Minh Khai,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00616,Phường Cổ Nhuế 1,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00617,Phường Cổ Nhuế 2,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00619,Phường Phú Diễn,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
00620,Phường Phúc Diễn,021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
08973,Thị trấn Chi Đông,250,Huyện Mê Linh,01,Thành phố Hà Nội
08974,Xã Đại Thịnh,250,Huyện Mê Linh,01,Thành phố Hà Nội
08977,Xã Kim Hoa,250,Huyện Mê Linh,01,Thành phố Hà Nội
08980,Xã Thạch Đà,250,Huyện Mê Linh,01,Thành phố Hà Nội
08983,Xã Tiến Thắng,250,Huyện Mê Linh,01,Thành phố Hà Nội
08986,Xã Tự Lập,250,Huyện Mê Linh,01,Thành phố Hà Nội
08989,Thị trấn Quang Minh,250,Huyện Mê Linh,01,Thành phố Hà Nội
08992,Xã Thanh Lâm,250,Huyện Mê Linh,01,Thành phố Hà Nội
08995,Xã Tam Đồng,250,Huyện Mê Linh,01,Thành phố Hà Nội
08998,Xã Liên Mạc,250,Huyện Mê Linh,01,Thành phố Hà Nội
09001,Xã Vạn Yên,250,Huyện Mê Linh,01,Thành phố Hà Nội
09004,Xã Chu Phan,250,Huyện Mê Linh,01,Thành phố Hà Nội
09007,Xã Tiến Thịnh,250,Huyện Mê Linh,01,Thành phố Hà Nội
09010,Xã Mê Linh,250,Huyện Mê Linh,01,Thành phố Hà Nội
09013,Xã Văn Khê,250,Huyện Mê Linh,01,Thành phố Hà Nội
09016,Xã Hoàng Kim,250,Huyện Mê Linh,01,Thành phố Hà Nội
09019,Xã Tiền Phong,250,Huyện Mê Linh,01,Thành phố Hà Nội
09022,Xã Tráng Việt,250,Huyện Mê Linh,01,Thành phố Hà Nội
09538,Phường Nguyễn Trãi,268,Quận Hà Đông,01,Thành phố Hà Nội
09541,Phường Mộ Lao,268,Quận Hà Đông,01,Thành phố Hà Nội
09542,Phường Văn Quán,268,Quận Hà Đông,01,Thành phố Hà Nội
09544,Phường Vạn Phúc,268,Quận Hà Đông,01,Thành phố Hà Nội
09547,Phường Yết Kiêu,268,Quận Hà Đông,01,Thành phố Hà Nội
09550,Phường Quang Trung,268,Quận Hà Đông,01,Thành phố Hà Nội
09551,Phường La Khê,268,Quận Hà Đông,01,Thành phố Hà Nội
09552,Phường Phú La,268,Quận Hà Đông,01,Thành phố Hà Nội
09553,Phường Phúc La,268,Quận Hà Đông,01,Thành phố Hà Nội
09556,Phường Hà Cầu,268,Quận Hà Đông,01,Thành phố Hà Nội
09562,Phường Yên Nghĩa,268,Quận Hà Đông,01,Thành phố Hà Nội
09565,Phường Kiến Hưng,268,Quận Hà Đông,01,Thành phố Hà Nội
09568,Phường Phú Lãm,268,Quận Hà Đông,01,Thành phố Hà Nội
09571,Phường Phú Lương,268,Quận Hà Đông,01,Thành phố Hà Nội
09886,Phường Dương Nội,268,Quận Hà Đông,01,Thành phố Hà Nội
10117,Phường Đồng Mai,268,Quận Hà Đông,01,Thành phố Hà Nội
10123,Phường Biên Giang,268,Quận Hà Đông,01,Thành phố Hà Nội
09574,Phường Lê Lợi,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09577,Phường Phú Thịnh,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09580,Phường Ngô Quyền,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09583,Phường Quang Trung,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09586,Phường Sơn Lộc,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09589,Phường Xuân Khanh,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09592,Xã Đường Lâm,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09595,Phường Viên Sơn,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09598,Xã Xuân Sơn,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09601,Phường Trung Hưng,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09604,Xã Thanh Mỹ,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09607,Phường Trung Sơn Trầm,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09610,Xã Kim Sơn,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09613,Xã Sơn Đông,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09616,Xã Cổ Đông,269,Thị xã Sơn Tây,01,Thành phố Hà Nội
09619,Thị trấn Tây Đằng,271,Huyện Ba Vì,01,Thành phố Hà Nội
09625,Xã Phú Cường,271,Huyện Ba Vì,01,Thành phố Hà Nội
09628,Xã Cổ Đô,271,Huyện Ba Vì,01,Thành phố Hà Nội
09631,Xã Tản Hồng,271,Huyện Ba Vì,01,Thành phố Hà Nội
09634,Xã Vạn Thắng,271,Huyện Ba Vì,01,Thành phố Hà Nội
09637,Xã Châu Sơn,271,Huyện Ba Vì,01,Thành phố Hà Nội
09640,Xã Phong Vân,271,Huyện Ba Vì,01,Thành phố Hà Nội
09643,Xã Phú Đông,271,Huyện Ba Vì,01,Thành phố Hà Nội
09646,Xã Phú Phương,271,Huyện Ba Vì,01,Thành phố Hà Nội
09649,Xã Phú Châu,271,Huyện Ba Vì,01,Thành phố Hà Nội
09652,Xã Thái Hòa,271,Huyện Ba Vì,01,Thành phố Hà Nội
09655,Xã Đồng Thái,271,Huyện Ba Vì,01,Thành phố Hà Nội
09658,Xã Phú Sơn,271,Huyện Ba Vì,01,Thành phố Hà Nội
09661,Xã Minh Châu,271,Huyện Ba Vì,01,Thành phố Hà Nội
09664,Xã Vật Lại,271,Huyện Ba Vì,01,Thành phố Hà Nội
09667,Xã Chu Minh,271,Huyện Ba Vì,01,Thành phố Hà Nội
09670,Xã Tòng Bạt,271,Huyện Ba Vì,01,Thành phố Hà Nội
09673,Xã Cẩm Lĩnh,271,Huyện Ba Vì,01,Thành phố Hà Nội
09676,Xã Sơn Đà,271,Huyện Ba Vì,01,Thành phố Hà Nội
09679,Xã Đông Quang,271,Huyện Ba Vì,01,Thành phố Hà Nội
09682,Xã Tiên Phong,271,Huyện Ba Vì,01,Thành phố Hà Nội
09685,Xã Thụy An,271,Huyện Ba Vì,01,Thành phố Hà Nội
09688,Xã Cam Thượng,271,Huyện Ba Vì,01,Thành phố Hà Nội
09691,Xã Thuần Mỹ,271,Huyện Ba Vì,01,Thành phố Hà Nội
09694,Xã Tản Lĩnh,271,Huyện Ba Vì,01,Thành phố Hà Nội
09697,Xã Ba Trại,271,Huyện Ba Vì,01,Thành phố Hà Nội
09700,Xã Minh Quang,271,Huyện Ba Vì,01,Thành phố Hà Nội
09703,Xã Ba Vì,271,Huyện Ba Vì,01,Thành phố Hà Nội
09706,Xã Vân Hòa,271,Huyện Ba Vì,01,Thành phố Hà Nội
09709,Xã Yên Bài,271,Huyện Ba Vì,01,Thành phố Hà Nội
09712,Xã Khánh Thượng,271,Huyện Ba Vì,01,Thành phố Hà Nội
09715,Thị trấn Phúc Thọ,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09718,Xã Vân Hà,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09721,Xã Vân Phúc,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09724,Xã Vân Nam,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09727,Xã Xuân Đình,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09733,Xã Sen Phương,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09739,Xã Võng Xuyên,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09742,Xã Thọ Lộc,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09745,Xã Long Xuyên,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09748,Xã Thượng Cốc,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09751,Xã Hát Môn,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
09754,Xã Tích Giang,272,Huyện Phúc Thọ,01,Thành phố Hà Nội
